# BUSCO version is: 5.1.2 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
6843at33090	Complete	h1tg000003l	30405494	30422158	+	1173.3	750	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Complete	h1tg000011l	1613157	1621597	+	1229.9	803	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	h1tg000038l	981168	1036210	+	1275.0	813	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	h1tg000023l	3129233	3137964	-	1378.5	869	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	h1tg000003l	2328745	2338827	-	1054.4	887	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	h1tg000043l	3088537	3114166	+	816.5	835	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	h1tg000031l	22040330	22100508	-	1047.5	696	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	h1tg000031l	11086777	11173160	-	1060.6	695	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	h1tg000037l	8212808	8216614	+	1975.4	1062	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	h1tg000037l	7692471	7729306	+	1127.1	694	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	h1tg000032l	444617	469299	+	1218.8	713	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	h1tg000008l	10375827	10386464	+	1085.6	708	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	h1tg000022l	20752928	20804215	-	1039.3	719	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	h1tg000024l	2959184	2987234	-	991.0	726	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	h1tg000029l	4100271	4122906	+	689.5	539	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Duplicated	h1tg000056l	1183869	1194564	-	1114.3	839	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
18801at33090	Duplicated	h1tg000025l	16674179	16687715	+	1024.8	832	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	h1tg000045l	1633856	1642347	+	1115.5	699	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	h1tg000023l	8522326	8648938	+	1369.0	815	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	h1tg000032l	4425146	4441549	+	734.3	562	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	h1tg000049l	7547271	7553001	+	681.9	432	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	h1tg000010l	36930909	36937264	-	936.0	635	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	h1tg000002l	10141218	10193165	-	965.1	650	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	h1tg000043l	208822	216270	-	598.7	444	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	h1tg000024l	2104481	2119977	-	871.4	631	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	h1tg000038l	4747186	4763067	-	902.8	749	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Duplicated	h1tg000022l	12480082	12523730	-	1029.5	723	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
25435at33090	Duplicated	h1tg000006l	12473121	12569910	-	940.6	722	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
25435at33090	Duplicated	h1tg000006l	12724883	12796221	+	924.7	728	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	h1tg000007l	10720794	10725322	-	774.2	508	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	h1tg000037l	7897652	7915754	+	952.1	623	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	h1tg000002l	5130251	5196174	-	623.2	450	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	h1tg000037l	8416663	8430989	+	845.9	544	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	h1tg000001l	14815003	14840179	+	491.9	441	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	h1tg000033l	5666156	5675042	+	946.2	526	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Complete	h1tg000031l	7711842	7788143	+	638.4	489	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	h1tg000032l	6842607	6848210	-	1230.8	704	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	h1tg000032l	195844	210205	+	715.0	490	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	h1tg000045l	9978118	9984289	-	1025.2	663	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	h1tg000038l	7649807	7669239	+	928.5	557	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	h1tg000003l	14397534	14472250	+	745.5	568	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Complete	h1tg000077l	875155	897895	+	1095.5	609	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	h1tg000022l	16474203	16505350	-	806.3	551	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	h1tg000020l	8448376	8490006	+	909.7	599	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	h1tg000022l	3614130	3641701	-	1054.9	544	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	h1tg000010l	25228337	25247860	-	864.7	572	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	h1tg000014l	1802253	1822884	-	782.1	451	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	h1tg000047l	7003705	7021505	-	777.3	457	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Complete	h1tg000012l	4694826	4743816	+	907.2	744	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Complete	h1tg000007l	14231124	14243879	-	781.6	510	https://v10-1.orthodb.org/?query=43683at33090	PPM-type phosphatase domain
43957at33090	Complete	h1tg000005l	14508857	14514934	-	1100.6	688	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
44063at33090	Complete	h1tg000025l	3497751	3510152	-	688.1	430	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
44526at33090	Complete	h1tg000024l	2242551	2258175	+	741.0	508	https://v10-1.orthodb.org/?query=44526at33090	GPI transamidase component PIG-T
46307at33090	Complete	h1tg000029l	5491507	5499592	+	848.3	444	https://v10-1.orthodb.org/?query=46307at33090	Acetyl-coenzyme A carboxyltransferase, C-terminal
48027at33090	Complete	h1tg000029l	2955999	2960796	+	811.4	428	https://v10-1.orthodb.org/?query=48027at33090	Aminoacyl-tRNA synthetase, class I, anticodon-binding
48290at33090	Complete	h1tg000049l	6910835	6932349	-	705.1	432	https://v10-1.orthodb.org/?query=48290at33090	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
48645at33090	Complete	h1tg000001l	18640534	18657160	-	655.3	492	https://v10-1.orthodb.org/?query=48645at33090	Cwf19-like, C-terminal domain-1
49092at33090	Complete	h1tg000038l	3141816	3156963	+	844.4	437	https://v10-1.orthodb.org/?query=49092at33090	Aldehyde dehydrogenase domain
50512at33090	Complete	h1tg000025l	10438678	10441123	-	417.9	351	https://v10-1.orthodb.org/?query=50512at33090	uncharacterized protein LOC107776719
50528at33090	Complete	h1tg000023l	4203784	4231753	+	541.5	398	https://v10-1.orthodb.org/?query=50528at33090	Light-mediated development protein DET1
51214at33090	Complete	h1tg000001l	19790640	19798803	-	618.8	415	https://v10-1.orthodb.org/?query=51214at33090	RNA helicase
51262at33090	Complete	h1tg000032l	5776215	5784015	-	463.9	397	https://v10-1.orthodb.org/?query=51262at33090	Peroxisomal/glyoxysomal leader peptide-processing protease
52348at33090	Complete	h1tg000049l	8357892	8363939	+	572.2	388	https://v10-1.orthodb.org/?query=52348at33090	JmjC domain
52435at33090	Complete	h1tg000043l	62757	89740	-	925.8	455	https://v10-1.orthodb.org/?query=52435at33090	Amine oxidase
52795at33090	Complete	h1tg000022l	528011	539635	-	670.0	428	https://v10-1.orthodb.org/?query=52795at33090	Lysine--tRNA ligase
53416at33090	Complete	h1tg000023l	9652337	9656864	+	520.7	360	https://v10-1.orthodb.org/?query=53416at33090	Alpha-1,3-glucosyltransferase
53527at33090	Complete	h1tg000007l	14121670	14135577	+	1093.7	723	https://v10-1.orthodb.org/?query=53527at33090	Glycoside hydrolase, family 77
55448at33090	Complete	h1tg000008l	4124007	4142153	-	799.5	420	https://v10-1.orthodb.org/?query=55448at33090	Proline-tRNA ligase, class IIa
57004at33090	Complete	h1tg000045l	5119274	5124375	+	666.4	455	https://v10-1.orthodb.org/?query=57004at33090	FAD/NAD(P)-binding domain superfamily
58672at33090	Complete	h1tg000002l	9035693	9040659	-	463.4	302	https://v10-1.orthodb.org/?query=58672at33090	VDE lipocalin domain
60262at33090	Complete	h1tg000056l	218279	231252	-	615.8	361	https://v10-1.orthodb.org/?query=60262at33090	WD40/YVTN repeat-like-containing domain superfamily
62262at33090	Complete	h1tg000010l	36515895	36525845	-	399.7	276	https://v10-1.orthodb.org/?query=62262at33090	Pseudouridine synthase, catalytic domain superfamily
63411at33090	Complete	h1tg000001l	16866782	16885858	-	631.7	370	https://v10-1.orthodb.org/?query=63411at33090	Fe-S cluster assembly domain superfamily
63853at33090	Complete	h1tg000002l	27076451	27078118	+	635.4	345	https://v10-1.orthodb.org/?query=63853at33090	NAD-dependent epimerase/dehydratase
64272at33090	Complete	h1tg000033l	9776337	9790668	+	835.1	716	https://v10-1.orthodb.org/?query=64272at33090	Nucleolar protein 14
65263at33090	Complete	h1tg000002l	4202302	4208792	+	466.5	342	https://v10-1.orthodb.org/?query=65263at33090	P-loop containing nucleoside triphosphate hydrolase
67132at33090	Complete	h1tg000022l	1891626	1899182	+	746.1	523	https://v10-1.orthodb.org/?query=67132at33090	DNA topoisomerase 6 subunit B
67389at33090	Complete	h1tg000006l	1296513	1302052	+	570.2	407	https://v10-1.orthodb.org/?query=67389at33090	Ribosomal protein Rsm22-like
68169at33090	Complete	h1tg000039l	2690819	2701125	+	855.9	649	https://v10-1.orthodb.org/?query=68169at33090	Nucleoporin Nup88
68537at33090	Complete	h1tg000010l	30390149	30401562	+	509.1	368	https://v10-1.orthodb.org/?query=68537at33090	Glycosyltransferase subfamily 4-like, N-terminal domain
68957at33090	Complete	h1tg000047l	1488041	1494472	+	638.2	429	https://v10-1.orthodb.org/?query=68957at33090	Mannosyltransferase
69073at33090	Complete	h1tg000003l	1543967	1547976	+	461.0	295	https://v10-1.orthodb.org/?query=69073at33090	Protein arginine methyltransferase NDUFAF7
69137at33090	Complete	h1tg000037l	2608762	2612432	-	663.2	491	https://v10-1.orthodb.org/?query=69137at33090	CDK5 regulatory subunit-associated protein 3
69505at33090	Complete	h1tg000001l	17901481	17906376	-	569.9	396	https://v10-1.orthodb.org/?query=69505at33090	tRNA A64-2'-O-ribosylphosphate transferase
69614at33090	Complete	h1tg000010l	30320343	30325525	-	523.2	328	https://v10-1.orthodb.org/?query=69614at33090	WD40 repeat
70613at33090	Complete	h1tg000047l	2048505	2052418	-	706.6	374	https://v10-1.orthodb.org/?query=70613at33090	Homogentisate 1,2-dioxygenase
71620at33090	Complete	h1tg000014l	14070225	14110566	+	453.0	305	https://v10-1.orthodb.org/?query=71620at33090	DNA primase large subunit
72992at33090	Complete	h1tg000001l	19993954	19999806	+	624.0	433	https://v10-1.orthodb.org/?query=72992at33090	RED-like, N-terminal
74230at33090	Complete	h1tg000021l	5316494	5378230	-	647.1	367	https://v10-1.orthodb.org/?query=74230at33090	Peptidogalycan biosysnthesis/recognition
74580at33090	Complete	h1tg000045l	2620491	2627979	+	573.1	402	https://v10-1.orthodb.org/?query=74580at33090	Nuclear protein DGCR14/ESS-2
74742at33090	Complete	h1tg000001l	18300534	18306597	-	253.9	262	https://v10-1.orthodb.org/?query=74742at33090	Histone acetyltransferase type B, catalytic subunit
75785at33090	Complete	h1tg000038l	3193840	3216698	+	435.1	333	https://v10-1.orthodb.org/?query=75785at33090	P-loop containing nucleoside triphosphate hydrolase
76026at33090	Complete	h1tg000045l	3963418	3979404	+	411.3	331	https://v10-1.orthodb.org/?query=76026at33090	SET domain
76849at33090	Complete	h1tg000039l	1674028	1678631	+	590.8	408	https://v10-1.orthodb.org/?query=76849at33090	Mini-chromosome maintenance complex-binding protein
79950at33090	Complete	h1tg000049l	135338	155090	-	426.5	277	https://v10-1.orthodb.org/?query=79950at33090	Rhodanese-like domain
83749at33090	Complete	h1tg000045l	4601018	4609080	-	580.5	360	https://v10-1.orthodb.org/?query=83749at33090	Beta-ketoacyl synthase, C-terminal
84114at33090	Complete	h1tg000003l	256790	261020	-	630.0	345	https://v10-1.orthodb.org/?query=84114at33090	Protein of unknown function DUF4336
84264at33090	Complete	h1tg000047l	9414590	9422229	+	664.4	666	https://v10-1.orthodb.org/?query=84264at33090	WW domain
87347at33090	Complete	h1tg000037l	4004971	4019965	+	1183.0	720	https://v10-1.orthodb.org/?query=87347at33090	WD40 repeat
87734at33090	Complete	h1tg000020l	2883671	2897869	+	288.1	231	https://v10-1.orthodb.org/?query=87734at33090	Helicase, C-terminal
88295at33090	Complete	h1tg000047l	1404812	1409059	+	445.6	317	https://v10-1.orthodb.org/?query=88295at33090	Rab3-GAP regulatory subunit
88687at33090	Complete	h1tg000003l	29486599	29495303	-	449.0	322	https://v10-1.orthodb.org/?query=88687at33090	Rad9/Ddc1
88771at33090	Complete	h1tg000006l	786868	794324	-	545.1	392	https://v10-1.orthodb.org/?query=88771at33090	Tetratricopeptide-like helical domain superfamily
89796at33090	Complete	h1tg000006l	7835417	7855055	-	857.7	586	https://v10-1.orthodb.org/?query=89796at33090	Conserved oligomeric Golgi complex subunit 6
90240at33090	Complete	h1tg000019l	14101606	14138493	+	516.0	331	https://v10-1.orthodb.org/?query=90240at33090	Methyltransferase domain
90301at33090	Complete	h1tg000022l	18393496	18407017	+	678.2	371	https://v10-1.orthodb.org/?query=90301at33090	Pyridoxal phosphate-dependent transferase
90872at33090	Complete	h1tg000027l	2174094	2182815	-	639.7	338	https://v10-1.orthodb.org/?query=90872at33090	Cation efflux protein
92418at33090	Complete	h1tg000029l	2377232	2381182	+	401.0	269	https://v10-1.orthodb.org/?query=92418at33090	NmrA-like domain
92579at33090	Complete	h1tg000007l	4004968	4020728	+	428.1	323	https://v10-1.orthodb.org/?query=92579at33090	Ubiquitin-associated domain
95807at33090	Complete	h1tg000014l	1763986	1774875	+	486.0	371	https://v10-1.orthodb.org/?query=95807at33090	ApaG domain
96953at33090	Complete	h1tg000024l	3368191	3374845	-	379.3	269	https://v10-1.orthodb.org/?query=96953at33090	WD40-repeat-containing domain
97593at33090	Complete	h1tg000033l	5870636	5877111	+	325.0	269	https://v10-1.orthodb.org/?query=97593at33090	Origin recognition complex subunit 4
101241at33090	Complete	h1tg000001l	15557417	15561534	+	534.6	339	https://v10-1.orthodb.org/?query=101241at33090	Actin family
101701at33090	Complete	h1tg000039l	2198190	2208255	+	788.5	514	https://v10-1.orthodb.org/?query=101701at33090	Nucleotide-diphospho-sugar transferases
102307at33090	Complete	h1tg000014l	840487	841518	+	589.0	293	https://v10-1.orthodb.org/?query=102307at33090	WD40 repeat
103267at33090	Complete	h1tg000038l	8831323	8839904	-	424.4	303	https://v10-1.orthodb.org/?query=103267at33090	RecQ-mediated genome instability protein 1
103382at33090	Complete	h1tg000033l	3801561	3808187	-	255.7	222	https://v10-1.orthodb.org/?query=103382at33090	Oxoglutarate/iron-dependent dioxygenase
104218at33090	Complete	h1tg000047l	8619459	8623798	+	550.4	299	https://v10-1.orthodb.org/?query=104218at33090	Tryptophan synthase beta subunit-like PLP-dependent enzyme
104557at33090	Complete	h1tg000020l	9097221	9118660	-	549.2	321	https://v10-1.orthodb.org/?query=104557at33090	Coenzyme F420 hydrogenase/dehydrogenase beta subunit, C-terminal
104821at33090	Complete	h1tg000001l	17924000	17925784	-	510.0	330	https://v10-1.orthodb.org/?query=104821at33090	RNA 2-O ribose methyltransferase, substrate binding
104867at33090	Duplicated	h1tg000031l	23537808	23563174	-	884.3	595	https://v10-1.orthodb.org/?query=104867at33090	Chorismate-utilising enzyme, C-terminal
104867at33090	Duplicated	h1tg000031l	23520887	23529035	-	874.0	641	https://v10-1.orthodb.org/?query=104867at33090	Chorismate-utilising enzyme, C-terminal
105044at33090	Complete	h1tg000010l	24700879	24712232	+	910.7	594	https://v10-1.orthodb.org/?query=105044at33090	Helicase, C-terminal
105782at33090	Complete	h1tg000033l	9190732	9198257	-	416.7	262	https://v10-1.orthodb.org/?query=105782at33090	CobW/HypB/UreG, nucleotide-binding domain
105867at33090	Complete	h1tg000025l	1056118	1071600	+	389.7	263	https://v10-1.orthodb.org/?query=105867at33090	Alcohol dehydrogenase, C-terminal
106769at33090	Complete	h1tg000022l	18429437	18440345	-	586.8	325	https://v10-1.orthodb.org/?query=106769at33090	Ribosomal protein S5 domain 2-type fold
106886at33090	Complete	h1tg000020l	3731759	3734675	+	282.4	245	https://v10-1.orthodb.org/?query=106886at33090	Cell division control protein 73, C-terminal
107107at33090	Complete	h1tg000045l	4629202	4639511	-	434.3	381	https://v10-1.orthodb.org/?query=107107at33090	PUB domain
107413at33090	Complete	h1tg000005l	15513167	15516055	+	600.2	356	https://v10-1.orthodb.org/?query=107413at33090	GPI mannosyltransferase 1
108705at33090	Complete	h1tg000006l	8649100	8701932	-	442.0	370	https://v10-1.orthodb.org/?query=108705at33090	Phosphatidylinositol anchor biosynthesis protein PIGW/GWT1
109586at33090	Complete	h1tg000039l	265988	275576	-	782.3	444	https://v10-1.orthodb.org/?query=109586at33090	Aminoacyl-tRNA synthetase, class Ia
109823at33090	Complete	h1tg000005l	2217746	2248412	-	405.9	265	https://v10-1.orthodb.org/?query=109823at33090	Domain of unknown function DUF1995
110222at33090	Complete	h1tg000010l	13241234	13254424	+	426.1	378	https://v10-1.orthodb.org/?query=110222at33090	DnaJ domain
110225at33090	Complete	h1tg000002l	7468636	7475903	-	767.6	468	https://v10-1.orthodb.org/?query=110225at33090	Bacterial bifunctional deaminase-reductase, C-terminal
111210at33090	Complete	h1tg000039l	1722610	1728735	-	451.1	272	https://v10-1.orthodb.org/?query=111210at33090	HAD superfamily
111213at33090	Complete	h1tg000029l	630835	638017	+	397.0	243	https://v10-1.orthodb.org/?query=111213at33090	NAD-dependent epimerase/dehydratase
111249at33090	Complete	h1tg000025l	8005367	8011500	+	267.7	235	https://v10-1.orthodb.org/?query=111249at33090	Predicted protein
111924at33090	Complete	h1tg000010l	30010155	30021587	+	420.7	273	https://v10-1.orthodb.org/?query=111924at33090	Ankyrin repeat-containing domain
112238at33090	Complete	h1tg000022l	2476825	2484335	-	637.2	526	https://v10-1.orthodb.org/?query=112238at33090	Zinc finger, PHD-type
112325at33090	Complete	h1tg000023l	11069777	11071178	-	377.4	292	https://v10-1.orthodb.org/?query=112325at33090	Sister chromatid cohesion protein Dcc1
112461at33090	Complete	h1tg000002l	5283005	5309202	+	628.8	367	https://v10-1.orthodb.org/?query=112461at33090	FAD-linked oxidase, C-terminal
112542at33090	Complete	h1tg000047l	3769510	3774720	-	438.9	246	https://v10-1.orthodb.org/?query=112542at33090	Cytochrome C biogenesis protein, transmembrane domain
113024at33090	Complete	h1tg000025l	5630874	5635056	-	355.9	226	https://v10-1.orthodb.org/?query=113024at33090	Queuosine salvage protein
114996at33090	Complete	h1tg000039l	367227	374957	+	1331.7	928	https://v10-1.orthodb.org/?query=114996at33090	Elongator complex protein 1
115240at33090	Complete	h1tg000047l	9991734	9999967	+	433.6	311	https://v10-1.orthodb.org/?query=115240at33090	Ubiquitin domain
115992at33090	Complete	h1tg000043l	1296050	1303270	+	436.9	254	https://v10-1.orthodb.org/?query=115992at33090	WD40 repeat
116411at33090	Complete	h1tg000001l	10465366	10508861	-	376.0	246	https://v10-1.orthodb.org/?query=116411at33090	WD40/YVTN repeat-like-containing domain superfamily
116516at33090	Complete	h1tg000001l	6909639	6944956	+	600.3	351	https://v10-1.orthodb.org/?query=116516at33090	SecY/SEC61-alpha family
116585at33090	Complete	h1tg000002l	26638588	26653800	+	392.0	298	https://v10-1.orthodb.org/?query=116585at33090	Zinc finger, RING-type
116623at33090	Complete	h1tg000006l	1398231	1411135	+	300.3	284	https://v10-1.orthodb.org/?query=116623at33090	Zinc finger, HIT-type
117191at33090	Complete	h1tg000024l	7947545	7956105	-	372.4	271	https://v10-1.orthodb.org/?query=117191at33090	NAD(P)-binding domain
117247at33090	Complete	h1tg000010l	3303235	3327961	+	475.3	271	https://v10-1.orthodb.org/?query=117247at33090	Protein phosphatase methylesterase 1
119439at33090	Complete	h1tg000037l	8376761	8385380	+	522.8	337	https://v10-1.orthodb.org/?query=119439at33090	Arginine biosynthesis bifunctional protein ArgJ, chloroplastic
120031at33090	Complete	h1tg000001l	13300597	13305280	-	301.2	270	https://v10-1.orthodb.org/?query=120031at33090	FAD dependent oxidoreductase
120338at33090	Complete	h1tg000010l	13024396	13049696	+	624.0	363	https://v10-1.orthodb.org/?query=120338at33090	Methylthiotransferase, N-terminal
120455at33090	Complete	h1tg000012l	4179746	4186426	+	404.5	230	https://v10-1.orthodb.org/?query=120455at33090	Uracil-DNA glycosylase
120589at33090	Duplicated	h1tg000031l	13099018	13117125	-	660.7	429	https://v10-1.orthodb.org/?query=120589at33090	beta-catenin-like protein 1
120589at33090	Duplicated	h1tg000002l	16192465	16213427	+	659.2	429	https://v10-1.orthodb.org/?query=120589at33090	beta-catenin-like protein 1
121281at33090	Complete	h1tg000003l	12190488	12222653	+	402.1	276	https://v10-1.orthodb.org/?query=121281at33090	Formyl transferase, C-terminal
121303at33090	Complete	h1tg000023l	1367921	1371940	+	482.7	364	https://v10-1.orthodb.org/?query=121303at33090	Alpha/Beta hydrolase fold
122367at33090	Complete	h1tg000077l	843289	844770	+	490.1	336	https://v10-1.orthodb.org/?query=122367at33090	Amine oxidase
122422at33090	Complete	h1tg000010l	15153233	15158712	-	379.1	246	https://v10-1.orthodb.org/?query=122422at33090	Short-chain dehydrogenase/reductase SDR
122831at33090	Complete	h1tg000033l	149147	161149	+	361.4	297	https://v10-1.orthodb.org/?query=122831at33090	Helicase, C-terminal
122958at33090	Complete	h1tg000023l	8148284	8167954	+	411.2	264	https://v10-1.orthodb.org/?query=122958at33090	Leucine carboxyl methyltransferase 1
123838at33090	Complete	h1tg000012l	8181385	8186453	-	356.8	263	https://v10-1.orthodb.org/?query=123838at33090	Alpha-ketoglutarate-dependent dioxygenase AlkB-like
125550at33090	Complete	h1tg000047l	9482388	9491260	-	185.3	143	https://v10-1.orthodb.org/?query=125550at33090	Regulatory protein RecX
125747at33090	Complete	h1tg000029l	299089	309563	-	270.7	206	https://v10-1.orthodb.org/?query=125747at33090	Predicted protein
126138at33090	Complete	h1tg000006l	4723928	4751592	-	589.3	439	https://v10-1.orthodb.org/?query=126138at33090	DnaJ domain
126427at33090	Complete	h1tg000023l	101953	107058	+	352.2	222	https://v10-1.orthodb.org/?query=126427at33090	RmlD-like substrate binding domain
127059at33090	Complete	h1tg000002l	27897996	27922648	-	508.6	320	https://v10-1.orthodb.org/?query=127059at33090	Aminoacyl-tRNA synthetase, class Ic
128774at33090	Complete	h1tg000029l	4318657	4327980	-	302.1	215	https://v10-1.orthodb.org/?query=128774at33090	Proteasome assembly chaperone 2
130268at33090	Complete	h1tg000010l	3752674	3767595	-	325.6	215	https://v10-1.orthodb.org/?query=130268at33090	Methyltransferase type 11
130279at33090	Complete	h1tg000022l	1408277	1414727	-	384.0	237	https://v10-1.orthodb.org/?query=130279at33090	Plastid lipid-associated protein/fibrillin conserved domain
